raw score,,,,,,,,,,,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,,mean,std
8,8,8,8,8,8,8,8,8,8,,8,8,8,8,8,8,8,8,8,8,,8,0
10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,,10.1,1.78E-15
9.1,-12.1111,11.1,27.5,4.1,13.3,2.6,15.3,7.6,14.6,,10.1,10.1,11.1,27.5,10.1,13.3,10.1,15.3,10.1,14.6,,13.23,5.131481268
8.1,10.5,7.9,-20.7778,5,13,6.4,21.8,4.1,17,,10.1,10.5,11.1,27.5,10.1,13.3,10.1,21.8,10.1,17,,14.16,5.777750427
9.2,7.1,1.5,-4.33333,10.1,-3.44444,21.1,32.1,17.4,25,,10.1,10.5,11.1,27.5,10.1,13.3,21.1,32.1,17.4,25,,17.82,7.73612306
25.5,0,8.1,-17.7778,19.5,1.8,-15.7778,-3.77778,10.1,-36.7778,,25.5,10.5,11.1,27.5,19.5,13.3,21.1,32.1,17.4,25,,20.3,6.925171478
-17.6667,15.4,19.6,12.2,16.7,-100,15.4,19.7,20,4.4,,25.5,15.4,19.6,27.5,19.5,13.3,21.1,32.1,20,25,,21.9,5.380334562
-8.44444,13.2,34.8,4.5,-0.555556,0.3,24.3,-17.7778,9.3,1.1,,25.5,15.4,34.8,27.5,19.5,13.3,24.3,32.1,20,25,,23.74,6.49510585
20,-1.22222,11.8,-20.4444,2.9,11.7,-26.6667,-20.6667,-100,4.4,,25.5,15.4,34.8,27.5,19.5,13.3,24.3,32.1,20,25,,23.74,6.49510585
18.5,4.1,-1.11111,-12,-3.11111,-6,16.4,4.7,12.9,9.7,,25.5,15.4,34.8,27.5,19.5,13.3,24.3,32.1,20,25,,23.74,6.49510585
30.4,7.5,17.9,11.1,10.2,11,-10.2222,25.6,8.2,-7.44444,,30.4,15.4,34.8,27.5,19.5,13.3,24.3,32.1,20,25,,24.23,6.787643184
32,21.9,24.8,4.7,16.5,9.8,-9.55556,10.4,15,20.5,,32,21.9,34.8,27.5,19.5,13.3,24.3,32.1,20,25,,25.04,6.355501554
-3.77778,-10.2222,41.3,9.1,2.5,12.9,21.5,-4.88889,23.5,6,,32,21.9,41.3,27.5,19.5,13.3,24.3,32.1,23.5,25,,26.04,7.348632526
21.5,7.2,34.1,-0.666667,17.4,25.7,-12.8889,-19.1111,16.7,0,,32,21.9,41.3,27.5,19.5,25.7,24.3,32.1,23.5,25,,27.28,6.020431878
-5.88889,-21.7778,-2.44444,5.4,22.7,4.8,25.4,3.8,-37,31.5,,32,21.9,41.3,27.5,22.7,25.7,25.4,32.1,23.5,31.5,,28.36,5.643615862
24.1,6.1,40.2,13.1,21,-0.333333,33.1,-2.11111,-2.77778,-5.44444,,32,21.9,41.3,27.5,22.7,25.7,33.1,32.1,23.5,31.5,,29.13,5.71210119
37.8,2.3,-3.33333,0,-7,-15.4444,-9.11111,10.2,-99.6667,-2.88889,,37.8,21.9,41.3,27.5,22.7,25.7,33.1,32.1,23.5,31.5,,29.71,6.243788914
-7,10.6,-2.88889,23.5,15.4,0,12.4,-18.3333,29.8,8.1,,37.8,21.9,41.3,27.5,22.7,25.7,33.1,32.1,29.8,31.5,,30.34,5.89342006
-0.666667,-14,11,18.5,12.7,-13.6667,-14.2222,5,10.4,13.9,,37.8,21.9,41.3,27.5,22.7,25.7,33.1,32.1,29.8,31.5,,30.34,5.89342006
-9,20.1,31.8,17.9,8.9,6,-0.555556,20.2,12,5.3,,37.8,21.9,41.3,27.5,22.7,25.7,33.1,32.1,29.8,31.5,,30.34,5.89342006
28,22,28.6,-3.22222,23.1,-17.8889,23.1,15.4,24.7,-8.44444,,37.8,22,41.3,27.5,23.1,25.7,33.1,32.1,29.8,31.5,,30.39,5.828112902
-4.66667,18.4,32,0,-25.1111,0,7.1,-3.55556,15.9,-5.22222,,37.8,22,41.3,27.5,23.1,25.7,33.1,32.1,29.8,31.5,,30.39,5.828112902
18.4,19.7,-3,-19.4444,15.8,20.6,11.6,10.4,29.7,0.9,,37.8,22,41.3,27.5,23.1,25.7,33.1,32.1,29.8,31.5,,30.39,5.828112902
