raw score,,,,,,,,,,,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,,mean,std
8,8,8,8,8,8,8,8,8,8,,8,8,8,8,8,8,8,8,8,8,,8,0
10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,,10.1,1.87E-15
-100,17,-100,-15.8889,9.1,-79.2222,-1.22222,-15.1111,-11.7778,-38,,10.1,17,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,,10.79,2.181971586
20.6,5.4,-100,-100,-100,-95.7778,-8.11111,36.5,-36.1111,-21.6667,,20.6,17,10.1,10.1,10.1,10.1,10.1,36.5,10.1,10.1,,14.48,8.582773445
-10.4444,-100,-38.8889,-41,-3.44444,-8.88889,-24.2222,-25.3333,-1.55556,-7,,20.6,17,10.1,10.1,10.1,10.1,10.1,36.5,10.1,10.1,,14.48,8.582773445
-18.5556,5.4,-58.1111,-79.4444,-78.2222,-83.1111,13.9,-78.6667,14.6,-100,,20.6,17,10.1,10.1,10.1,10.1,13.9,36.5,14.6,10.1,,15.31,8.286997848
-100,-13.5556,-100,-100,11,-100,-12.2222,-100,-35.5556,-2,,20.6,17,10.1,10.1,11,10.1,13.9,36.5,14.6,10.1,,15.4,8.228811174
-100,-100,-78.5556,-100,12.2,-20.6667,-100,-100,-100,-100,,20.6,17,10.1,10.1,12.2,10.1,13.9,36.5,14.6,10.1,,15.52,8.166027186
-100,-79.3333,-100,-78.8889,-6.88889,-71.2222,26,4.8,-100,-70.1111,,20.6,17,10.1,10.1,12.2,10.1,26,36.5,14.6,10.1,,16.73,8.773197821
-9.66667,-100,-93.6667,-62.3333,-77.8889,-16.8889,-15.7778,-100,-100,-55.1111,,20.6,17,10.1,10.1,12.2,10.1,26,36.5,14.6,10.1,,16.73,8.773197821
-15.2222,-16.6667,-100,-10.1111,6.3,-38.3333,-43.7778,-7.77778,-10.1111,-100,,20.6,17,10.1,10.1,12.2,10.1,26,36.5,14.6,10.1,,16.73,8.773197821
-10.7778,-7.77778,-100,-61.3333,-100,-84,-8.77778,-100,-100,-8.33333,,20.6,17,10.1,10.1,12.2,10.1,26,36.5,14.6,10.1,,16.73,8.773197821
